zip
005|d123fe67
act2000o2|6a449312|Action 2000 (Version 3.10XT)
act2000o3|df73bdeb|Action 2000 (Version 1.2)
act2000v1|79ca2604|Action 2000 (Version 3.5R Dual)
act2000vx|a36d442d|Action 2000 (Version 3.30XT Dual)
actfancr|9fc0afe8|Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancr1|03db4f0a|Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancrj|69e2089e|Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actionhw|34e2ced3|Action Hollywood
ad2083|3676a561|A. D. 2083
aerfboo2|38e16ee5|Aero Fighters (bootleg set 2)
aerfboot|b39664c9|Aero Fighters (bootleg set 1)
aeroboto|f73b6a2d|Aeroboto
aerofgt|394fbc3e|Aero Fighters
aerofgtb|779c9ba4|Aero Fighters (Turbo Force hardware set 1)
aerofgtc|6633edf3|Aero Fighters (Turbo Force hardware set 2)
aerofgts|90c60c7d|Aero Fighters Special (Taiwan)
afighter|3a1bc6b8|Action Fighter (FD1089A 317-0018)
afire|32198494|Astro Fire
agallet|031aa30d|Air Gallet (Europe)
agalleth|470876d7|Air Gallet (Hong Kong)
agalletj|6422e053|Air Gallet (Japan)
agalletk|de3a6a9d|Air Gallet (Korea)
agallett|349ed739|Air Gallet (Taiwan)
agalletu|ef15d480|Air Gallet (USA)
agentx1|4eb4764c|Agent X (prototype, rev 1)
agentx2|42c147d3|Agent X (prototype, rev 2)
agentx3|192a12c0|Agent X (prototype, rev 3)
agentx4|60d52621|Agent X (prototype, rev 4)
agress|e8efc958|Agress
agressb|dcad82b8|Agress (English bootleg)
airattck|0bab2650|Air Attack (set 1)
airattcka|c510d178|Air Attack (set 2)
airbustr|d9e397ed|Air Buster: Trouble Specialty Raid Unit (World)
airbustrb|c104e133|Air Buster: Trouble Specialty Raid Unit (bootleg)
airbustrj|35ba7c90|Air Buster: Trouble Specialty Raid Unit (Japan)
airduel|9d4f621c|Air Duel (Japan)
airwolf|11104399|Airwolf
airwolfa|c2d30740|Airwolf (US)
ajax|c082615a|Ajax
ajaxj|20d36d9f|Ajax (Japan)
akamaru|1f829dfd|Panel _ Variety Akamaru Q Jousyou Dont-R
akiss|63cbbff4|Mahjong Angel Kiss
akkanvdr|6d2414fb|Akkanbeder (Ver 2.5J 1995/06/14)
aladbl|73fefb2a|Aladdin (bootleg of Japanese Megadrive version)
alcon|a33ed8d7|Alcon (US)
aleck64|51015e32|Aleck64 PIF BIOS
alexkidd|fc637b17|Alex Kidd: The Lost Stars (set 2, unprotected)
alexkidd1|d193ba16|Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021)
alg_bios|e33e63b6|American Laser Games BIOS
alien3|f00fde8c|Alien3: The Gun (World)
alien3u|416eaa1a|Alien3: The Gun (US)
alienar|01ace2ab|Alien Arena
alienaru|193001ef|Alien Arena (Stargate Upgrade)
alieninv|43c11d90|Alien Invasion
alieninvp2|9f57e92d|Alien Invasion Part II
aliens|ce8eb3f4|Aliens (World set 1)
aliens2|de195679|Aliens (World set 2)
aliens3|fb76d169|Aliens (World set 3)
aliensa|6682539f|Aliens (Asia)
aliensec|eae61edb|Alien Sector
aliensj|a6fdb3f2|Aliens (Japan set 1)
aliensj2|c0c40256|Aliens (Japan set 2)
aliensu|65bf456f|Aliens (US)
aliensyn|9c7a5397|Alien Syndrome (set 4, System 16B, unprotected)
aliensyn2|6f2aa568|Alien Syndrome (set 2, System 16A, FD1089A 317-0033)
aliensyn3|72cecd04|Alien Syndrome (set 3, System 16B, FD1089A 317-0033)
aliensyn5|eaa1a23c|Alien Syndrome (set 5, System 16A, FD1089B 317-0037)
aliensynj|e353254c|Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)
aliensynjo|b5961142|Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)
aligatorun|877bfeb8|Alligator Hunt (unprotected)
alleymas|ec12950f|Alley Master
alpham2|2fce6df5|Alpha Mission II / ASO II - Last Guardian
alphamis|fe38bf4f|Alpha Mission
alphaone|d26f9b80|Alpha One (prototype, 3 lives)
alphaonea|67526513|Alpha One (prototype, 5 lives)
alphaxz|0ef150b1|The Alphax Z (Japan)
alpine|14d519bf|Alpine Ski (set 1)
alpinea|427822c1|Alpine Ski (set 2)
alpinerc|52067b33|Alpine Racer (Rev. AR2 Ver.C)
alpinerd|36fe670f|Alpine Racer (Rev. AR2 Ver.D)
alpinesa|abadc6c5|Alpine Surfer (Rev. AF2 Ver.A)
alpinr2b|2a8d198e|Alpine Racer 2 (Rev. ARS2 Ver.B)
altair|88e8c78f|Altair
altbeast|e431711b|Altered Beast (set 8, 8751 317-0078)
altbeast2|c69b63c1|Altered Beast (set 2, MC-8123B 317-0066)
altbeast4|b9f505ec|Altered Beast (set 4, MC-8123B 317-0066)
altbeast5|85347f3b|Altered Beast (set 6, 8751 317-0076)
altbeastj|8d90dcd0|Juuouki (set 7, Japan, 8751 317-0077)
altbeastj3|2c5b74d0|Juuouki (set 3, Japan, FD1094 317-0068)
amatelas|e9756f02|Sei Senshi Amatelass
amazon|8f3c5b44|Soldier Girl Amazon
ambush|38941bfa|Ambush
ambushj|7af0a231|Ambush (Japan)
ambushv|51ff98a5|Ambush (Volt Electronics)
amerdart|414a04e4|AmeriDarts (set 1)
amerdart2|fc2e5f00|AmeriDarts (set 2)
amerdart3|5e0168b8|AmeriDarts (set 3)
amidar|bbe0cb50|Amidar
amidarb|3d1cd270|Amidar (bootleg)
amidaro|f36e620a|Amidar (Olympia)
amidars|8b40e58c|Amidar (Scramble hardware)
amidaru|e223d4cf|Amidar (Stern Electronics)
amigo|af1a9270|Amigo
ampkr228|334ae811|American Poker II (iamp2 v28)
ampkr2b1|db2a7b0d|American Poker II (bootleg, set 1)
ampkr2b2|9c60a9eb|American Poker II (bootleg, set 2)
ampkr2b3|fd2c368b|American Poker II (bootleg, set 3)
ampkr2b4|5568428f|American Poker II (bootleg, set 4)
ampkr95|c978e029|American Poker 95
ampoker2|b7d15e3e|American Poker II
amspdwy|7510a83c|American Speedway (set 1)
amspdwya|3f661f41|American Speedway (set 2)
amuse|dbd44185|Amuse (Version 50.08 IBA)
amuse1|019f4f19|Amuse (Version 30.08 IBA)
androdun|f405b11b|Andro Dunos
angelkds|ad0663ea|Angel Kids (Japan)
anibonus|1784057a|Animal Bonus (Version 1.8E Dual)
anibonusb1|0bedf7ca|Animal Bonus (Version 1.7R, set 1)
anibonusb2|ed3894cb|Animal Bonus (Version 1.7LT, set 1)
anibonusd1|190a246b|Animal Bonus (Version 1.7R, set 2)
anibonusd2|e7215690|Animal Bonus (Version 1.7LT, set 2)
anibonuso|4b591be1|Animal Bonus (Version 1.5)
anibonuso2|b7a00ba5|Animal Bonus (Version 1.4, set 1)
anibonuso3|7e816ddb|Animal Bonus (Version 1.4, set 2)
anibonusv1|2fc33ac3|Animal Bonus (Version 1.8R Dual)
anibonusv2|fbc45573|Animal Bonus (Version 1.8LT Dual)
anibonusxo|da827d2c|Animal Bonus (Version 1.50XT)
anibonusxo2|89ece522|Animal Bonus (Version 1.40XT, set 1)
anibonusxo3|c2fe53d3|Animal Bonus (Version 1.40XT, set 2)
animaljr|1ba5dc20|Exciting Animal Land Jr. (USA)
animaljrj|dcd49beb|Waiwai Animal Land Jr. (Japan)
animaljrs|543dc3d8|Animalandia Jr. (Spanish)
anithunt|c01b094b|Animal Treasure Hunt (Version 1.9R, set 1)
anithuntd1|e0f215f6|Animal Treasure Hunt (Version 1.9R, set 2)
anithunto|87d13994|Animal Treasure Hunt (Version 1.7)
anithunto2|d5ae14d4|Animal Treasure Hunt (Version 1.5)
anithuntv1|0b2ed9a6|Animal Treasure Hunt (Version 1.9R Dual)
anteater|bb8f8b36|Anteater
anteatg|47acff35|Ameisenbaer (German)
anteatgb|aa20fc77|The Anteater (UK)
aodk|8401f172|Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku
aof|79b1cfb8|Art of Fighting / Ryuuko no Ken
aof2|78105c6a|Art of Fighting 2 / Ryuuko no Ken 2 (set 1)
aof2a|9f705179|Art of Fighting 2 / Ryuuko no Ken 2 (set 2)
aof3|7a3d2778|Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden
aof3k|73d5acf9|Art of Fighting 3 - The Path of the Warrior (Korean release)
aoh|726de6f0|Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)
apache3|6478a993|Apache 3
apache3a|8dfb6417|Apache 3 (Kana Corporation license)
apb|94613ac1|APB - All Points Bulletin (rev 7)
apb1|dd0add85|APB - All Points Bulletin (rev 1)
apb2|299bcd6c|APB - All Points Bulletin (rev 2)
apb3|acb8398e|APB - All Points Bulletin (rev 3)
apb4|fb6794c6|APB - All Points Bulletin (rev 4)
apb5|d98dfdf3|APB - All Points Bulletin (rev 5)
apb6|6fdab61c|APB - All Points Bulletin (rev 6)
apbf|3ebaa671|APB - All Points Bulletin (French)
apbg|00662676|APB - All Points Bulletin (German)
aponow|fd3aa803|Apocaljpse Now
apparel|607c8495|Apparel Night (Japan 860929)
apple10|bb8f8b1c|Apple 10 (Ver 1.21)
appoooh|4bfda825|Appoooh
aquajack|561670b4|Aqua Jack (World)
aquajackj|4a4b265b|Aqua Jack (Japan)
aquajet|6810beb0|Aqua Jet (Rev. AJ2 Ver.B)
aquarium|ac524c5f|Aquarium (Japan)
aquarush|1d15234e|Aqua Rush (Japan, AQ1/VER.A1)
ar_airh|8ca86b2a|SportTime Table Hockey (Arcadia, set 1, V 2.1)
ar_airh2|3f45a6bf|SportTime Table Hockey (Arcadia, set 2)
ar_bios|66756cd3|Arcadia System BIOS
ar_bowl|79f63697|SportTime Bowling (Arcadia, V 2.1)
ar_dart|8cbc717c|World Darts (Arcadia, set 1, V 2.1)
ar_fast|196c2e53|Magic Johnson's Fast Break (Arcadia, V 2.8)
ar_ldrb|774c24f8|Leader Board (Arcadia, V 2.4?)
ar_ldrba|1e6be5ad|Leader Board (Arcadia, V 2.5)
ar_ninj|5247193b|Ninja Mission (Arcadia, set 1, V 2.5)
ar_ninj2|226bca7e|Ninja Mission (Arcadia, set 2)
ar_rdwr|d17da113|RoadWars (Arcadia, V 2.3)
ar_sdwr|756f35ea|Sidewinder (Arcadia, set 1, V 2.1)
ar_sdwr2|e6992d4d|Sidewinder (Arcadia, set 2)
ar_socc|8131f682|World Trophy Soccer (Arcadia, V 3.0)
ar_spot|702f814e|Spot (Arcadia)
ar_sprg|e52a4a03|Space Ranger (Arcadia, V 2.0)
ar_xeon|7d10d683|Xenon (Arcadia, V 2.3)
arabfgt|f0e3dd0f|Arabian Fight (World)
arabfgtj|7afda1d6|Arabian Fight (Japan)
arabfgtu|aa46ded0|Arabian Fight (US)
arabian|8fb5aa1e|Arabian
arabiana|3ccb24d5|Arabian (Atari)
arabianm|f1540092|Arabian Magic (Ver 1.0O 1992/07/06)
arabianmj|e16d6a14|Arabian Magic (Ver 1.0J 1992/07/06)
arabianmu|5e2fbb64|Arabian Magic (Ver 1.0A 1992/07/06)
aracnis|d4829355|Aracnis (bootleg of Scorpion on Moon Cresta hardware)
arbalest|b3981136|Arbalester
arcadecl|cc760714|Arcade Classics (prototype)
arcadia|58ffd412|Waga Seishun no Arcadia
archrivl|d8667efb|Arch Rivals (rev 4.0)
archrivl2|4fa10e40|Arch Rivals (rev 2.0)
area51|f7683e0a|Area 51 (R3000)
area51a|2b2baa59|Area 51 (Atari Games license)
area51mx|c5c474a9|Area 51 / Maximum Force Duo v2.0
area51t|d490a484|Area 51 (Time Warner license)
area88|614a2244|Area 88 (Japan)
arescue|93d16664|Air Rescue
argus|277b167e|Argus
argusg|7e482b5e|Argus (Gottlieb, prototype)
arian|e016c83d|Arian Mission
ark1ball|c2fc7ac9|Arkanoid (bootleg with MCU, harder)
arkangc|6f4e4c1a|Arkanoid (Game Corporation bootleg, set 1)
arkangc2|0bfadb75|Arkanoid (Game Corporation bootleg, set 2)
arkanoid|ea5415fa|Arkanoid (World)
arkanoidj|f23510b4|Arkanoid (Japan)
arkanoidu|cd0e2dd9|Arkanoid (US)
arkanoiduo|b796f4fd|Arkanoid (US, older)
arkarea|0f9c2e2c|Ark Area
arkatayt|a9b718d3|Arkanoid (Tayto bootleg)
arkatour|ae0fb022|Tournament Arkanoid (US)
arkbloc2|9f7393a1|Block (Game Corporation bootleg, set 2)
arkbloc3|9b913729|Block (Game Corporation bootleg, set 3)
arkblock|6c5d4e43|Block (Game Corporation bootleg, set 1)
arkgcbl|9e3c0485|Arkanoid (bootleg on Block hardware, set 1)
arkgcbla|10bed885|Arkanoid (bootleg on Block hardware, set 2)
arkmcubl|6b02e681|Arkanoid (bootleg with MCU)
arknoid2|c9fb6010|Arkanoid - Revenge of DOH (World)
arknoid2j|32bd6d4f|Arkanoid - Revenge of DOH (Japan)
arknoid2u|4a89847e|Arkanoid - Revenge of DOH (US)
arkretrn|f32095a3|Arkanoid Returns (Ver 2.02J 1997/02/10)
arktayt2|cda59f0f|Arkanoid (Tayto bootleg, harder)
arlingtn|1a5237e1|Arlington Horse Racing (v1.21-D)
armchmp2|0fb6d56e|Arm Champs II v2.6
armchmp2o|f4fd9224|Arm Champs II v1.7
armedf|1d7b8092|Armed Formation
armedff|503cb13d|Armed Formation (Fillmore license)
armora|3d5b406c|Armor Attack
armorap|d0a0525f|Armor Attack (prototype)
armorar|cd02f655|Armor Attack (Rock-Ola)
armorcar|015b33f7|Armored Car (set 1)
armorcar2|8c947378|Armored Car (set 2)
armwar|33700d95|Armored Warriors (Euro 941024)
armwar1d|0e4aee85|Armored Warriors (Euro 941011 Phoenix Edition) (bootleg)
armwara|cc5822da|Armored Warriors (Asia 940920)
armwarr1|7636fce1|Armored Warriors (Euro 941011)
armwaru|cfec6209|Armored Warriors (USA 941024)
armwaru1|02fd0683|Armored Warriors (USA 940920)
armwrest|380d4124|Arm Wrestling
ashnojoe|425f627c|Ashita no Joe (Japan)
ashura|741acd29|Ashura Blaster (World)
ashuraj|04093490|Ashura Blaster (Japan)
ashurau|688cd6fa|Ashura Blaster (US)
aso|c0467d70|ASO - Armored Scrum Object
asoccer|2b73398c|American Soccer
assault|8f003124|Assault
assaultj|0e6d4dbb|Assault (Japan)
assaultp|bf242b9f|Assault Plus (Japan)
astdelux|6559d5ed|Asteroids Deluxe (rev 3)
astdelux1|1b491f69|Asteroids Deluxe (rev 1)
astdelux2|89e66794|Asteroids Deluxe (rev 2)
asterix|fe504c0a|Asterix (ver EAD)
asterixaad|e0780a8b|Asterix (ver AAD)
asterixeaa|6bfe9085|Asterix (ver EAA)
asterixeac|0de5bfdd|Asterix (ver EAC)
asterixj|d37c16b4|Asterix (ver JAD)
asterock|444347c2|Asterock
asteroid|3c40d82d|Asteroids (rev 4)
asteroid1|ee7dd4a4|Asteroids (rev 1)
asteroid2|d4eb79fa|Asteroids (rev 2)
asteroidb|31e020a7|Asteroids (bootleg on Lunar Lander hardware)
astinvad|359ea355|Astro Invader
astorm|79c92f72|Alien Storm (World, 2 Players, FD1094 317-0154)
astorm3|51f0ae7c|Alien Storm (World, 3 Players, FD1094 317-0148)
astormbl|ac8e668b|Alien Storm (bootleg, set 1)
astormj|a39488df|Alien Storm (Japan, 2 Players, FD1094 317-0146)
astormu|9aaf2a74|Alien Storm (US, 3 Players, FD1094 317-0147)
astrass|ccb36035|Astra SuperStars (J 980514 V1.002)
astrob|aa435f8b|Astro Blaster (version 3)
astrob2|8979822a|Astro Blaster (version 2)
astrob2a|d5383f32|Astro Blaster (version 2a)
astrobg|aa0e738f|Astro Blaster (German)
astrof|9da569d3|Astro Fighter (set 1)
astrof2|c30e53e2|Astro Fighter (set 2)
astrof3|320f6d4a|Astro Fighter (set 3)
astrofl|b1853ddd|Astro Flash (Japan)
astropal|af301370|Astropal
astyanax|bcf42d2b|The Astyanax
asuka|78836ef3|Asuka _ Asuka (World)
asukaj|9cdf5d0f|Asuka _ Asuka (Japan)
asurabld|73f9a4e6|Asura Blade - Sword of Dynasty (Japan)
asurabus|38e53a8a|Asura Buster - Eternal Warriors (Japan)
asylum|a0136f4d|Asylum (prototype)
atarifb|866149f6|Atari Football (revision 2)
atarifb1|fb4e15f7|Atari Football (revision 1)
atarifb4|900ebb98|Atari Football (4 players)
atarisy1|3c0e1e65|Atari System 1 BIOS
ataxx|7d2833b0|Ataxx (set 1)
ataxxa|1356e66e|Ataxx (set 2)
ataxxj|59a1464a|Ataxx (Japan)
atehate|4902b75d|Athena no Hatena ?
atetris|1ffbf103|Tetris (set 1)
atetrisa|39fb70e6|Tetris (set 2)
atetrisb|17495fdd|Tetris (bootleg set 1)
atetrisb2|9bbb5770|Tetris (bootleg set 2)
atetrisc|b2bb4a8f|Tetris (cocktail set 1)
atetrisc2|b93192ea|Tetris (cocktail set 2)
athena|8ac9bacc|Athena
atlantis|0685bc6f|Battle of Atlantis (set 1)
atlantis2|f6fb5177|Battle of Atlantis (set 2)
atlantisb|b0245f1c|Battle of Atlantis (bootleg)
atlantol|e97d851b|Atlant Olimpic
atluspsx|0dc8a1a9|Atlus PSX
atomboy|4a96577a|Atomic Boy (revision B)
atomboya|64fd300b|Atomic Boy (revision A)
atomicp|bf009c9f|Atomic Point (Korea)
atompunk|475b94db|Atomic Punk (US)
atpsx|9c311a83|Atari PSX
attckufo|d037d351|Attack Ufo
atworld|9e1c29a0|Around The World (Version 1.3E CGA)
atworldd1|c548632e|Around The World (Version 1.3R CGA)
aurail|fc7a1383|Aurail (set 3, US, unprotected)
aurail1|b45af3db|Aurail (set 2, World, FD1089B 317-0168)
aurailj|13129463|Aurail (set 1, Japan, FD1089A 317-0167)
autmoon|cddecaca|Autumn Moon
avalnche|70e24341|Avalanche
avengers|5dad45ff|Avengers (US set 1)
avengers2|148d77ed|Avengers (US set 2)
avengrgs|e9770e5b|Avengers In Galactic Storm (US)
avengrgsj|7275cee3|Avengers In Galactic Storm (Japan)
avsp|0537d847|Alien vs. Predator (Euro 940520)
avspa|acd8f460|Alien vs. Predator (Asia 940520)
avspd|0da372cf|Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)
avsph|a0cd68f4|Alien vs. Predator (Hispanic 940520)
avspirit|6707417d|Avenging Spirit
avspj|4ba9febc|Alien vs. Predator (Japan 940520)
avspu|af976262|Alien vs. Predator (USA 940520)
aztarac|ad36a737|Aztarac
azurian|e531aaa7|Azurian Attack
babydad|220b642b|Baby Dado
babypkr|63a64b50|Baby Poker
backfire|28fdb800|Backfire! (set 1)
backfirea|007fce5d|Backfire! (set 2)
backfirt|cdb79070|Back Fire (Tecmo, bootleg)
baddudes|823dddde|Bad Dudes vs. Dragonninja (US)
badlands|a52d6a05|Bad Lands
bagman|b2334187|Bagman
bagmans|69d210f4|Bagman (Stern Electronics, set 1)
bagmans2|e040da5a|Bagman (Stern Electronics, set 2)
bagnard|72bc4972|Le Bagnard (set 1)
bagnarda|75f92b30|Le Bagnard (set 2)
bakatono|b6e7a7ad|Bakatonosama Mahjong Manyuuki
bakubrkr|b90b198d|Bakuretsu Breaker
bakuhatu|892720c8|Mahjong Bakuhatsu Junjouden (Japan)
bakutotu|73eececf|Bakutotsu Kijuutei
balcube|2c3ccd56|Bal Cube
ballbomb|d8c9cbc6|Balloon Bomber
ballbros|c39a8a6e|Balloon Brothers
balonfgt|678c35bc|Vs. Balloon Fight
baluba|640d45af|Baluba-louk no Densetsu (Japan)
