zip
005|2bbd8481
apb6|5d3d2537|APB - All Points Bulletin (rev 6)
apbf|d6bc468a|APB - All Points Bulletin (French)
apbg|f9f998ce|APB - All Points Bulletin (German)
aponow|a622fe86|Apocaljpse Now
apparel|607c8495|Apparel Night (Japan 860929)
appoooh|4bfda825|Appoooh
aquajack|fe4953d0|Aqua Jack (World)
aquajckj|e0c096ad|Aqua Jack (Japan)
aquarium|ac524c5f|Aquarium (Japan)
aquarush|7522b95c|Aqua Rush (AQ1-VER.A)
arabfgt|fff72220|Arabian Fight
arabiamj|e78ffedc|Arabian Magic (Japan)
arabiamu|b72b01c1|Arabian Magic (US)
arabian|8fb5aa1e|Arabian
arabiana|a6320ecb|Arabian (Atari)
arabianm|33a9a1e4|Arabian Magic (World)
arbalest|b3981136|Arbalester
arcadecl|cc760714|Arcade Classics (prototype)
arcadia|015520fb|Waga Seishun no Arcadia
archriv2|af55e805|Arch Rivals (rev 2.0)
archrivl|8544f7f9|Arch Rivals (rev 4.0)
area51|2b2baa59|Area 51
area51mx|c5c474a9|Area 51 - Maximum Force Duo v2.0
area88|5ef5a272|Area 88 (Japan)
arescue|93d16664|Air Rescue
argus|277b167e|Argus
arkangc|e1b4e750|Arkanoid (Game Corporation bootleg)
arkanoid|d4bc8be4|Arkanoid (World)
arkarea|0f9c2e2c|Ark Area
arkatayt|22f77767|Arkanoid (Tayto bootleg, Japanese)
arkatour|52978f77|Tournament Arkanoid (US)
arkbloc2|d9396060|Block (Game Corporation bootleg)
arknid2j|e73cbb79|Arkanoid - Revenge of DOH (Japan)
arknid2u|83c4dcdc|Arkanoid - Revenge of DOH (US)
arknoid2|c9fb6010|Arkanoid - Revenge of DOH (World)
arknoidj|463bc22f|Arkanoid (Japan)
arknoidu|be6a8132|Arkanoid (US)
arknoiuo|046fcdb1|Arkanoid (US, older)
arkretrn|1353a009|Arkanoid Returns (Japan)
arlingtn|1a5237e1|Arlington Horse Racing (v1.21-D)
armedf|fc9308de|Armed Formation
armora|c99d0925|Armor Attack
armorap|fcdb03dd|Armor Attack (prototype)
armorar|cd02f655|Armor Attack (Rock-ola)
armorca2|e4ccde75|Armored Car (set 2)
armorcar|015b33f7|Armored Car (set 1)
armwar|5a4a4b6e|Armored Warriors (Euro 941011)
armwaru|b351c6a4|Armored Warriors (USA 941024)
armwrest|81907eeb|Arm Wrestling
ashnojoe|d7ab42e7|Ashita no Joe (Japan)
ashura|d141bf54|Ashura Blaster (Japan)
ashurau|146ef3f1|Ashura Blaster (US)
aso|1ae3621a|ASO - Armored Scrum Object
assault|8f003124|Assault
