sms
20 em 1 (Brazil)|F0F35C22
Sonic The Hedgehog (USA, Europe)|A291032C
Sonic The Hedgehog (USA, Europe, Brazil)|B519E833
Sonic The Hedgehog 2 (Europe, Brazil)|5B3B922C,9015
Sonic The Hedgehog 2 (Europe, Brazil) (Rev 1)|D6F2BFCA,9015
Sonic's Edusoft (Unknown) (Proto)|D9096263
Space Gun (Europe)|A908CFF5,9010
Space Harrier (Europe)|CA1D3752,7080
Space Harrier (Japan, USA)|BEDDF80E
Space Harrier 3-D (USA, Europe, Brazil)|6BD5C2BF
Space Harrier 3D (Japan)|156948F9,G-1349
Special Criminal Investigation (Europe)|FA8E4CA0,7079
Special Criminal Investigation (Europe) (Beta)|1B7D2A20
Speedball (Europe)|A57CAD18,25013
Speedball (Europe) (Rev 1)|5CCC1A65,25013
Speedball 2 (Europe)|0C7366A0,27039-50
SpellCaster (USA, Europe)|13A0838A
SpellCaster (USA, Europe, Brazil)|4752CAE7
Spider-Man (USA, Europe, Brazil)|908FF25C
Spider-Man - Return of the Sinister Six (Europe, Brazil)|EBE45388,MK 27055-50
Sports Pad Football (USA)|E42E4998,5060
Sports Pad Soccer (Japan)|41C948BF,G-1365
Spy vs Spy (Japan)|D41B9A08,C-514
Spy vs Spy (Taiwan) (Unl)|689F58A2
Spy vs Spy (USA, Europe, Brazil)|78D7FAAB
Star Wars (Europe, Brazil)|D4B8F66D,29014-50
Street Fighter II' (Brazil)|0F8287EC,030.010
Street Master (Korea) (Unl)|83F0EEDE
Streets of Rage (Europe, Brazil)|4AB3790F,9019
Streets of Rage II (Europe, Brazil)|04E9C089,9026 670-3528-50
Strider (USA, Europe, Brazil)|9802ED31
Strider (USA, Europe, Brazil) (Demo)|B990269A
Strider II (Europe, Brazil)|B8F0915A,29005
Strider, The (Taiwan) (En) (Unl)|63A7F906
Submarine Attack (Europe, Brazil)|D8F2F1B9,7048
Submarine Attack (Taiwan) (En) (Unl)|D282EF71
Suho Jeonsa (Korea) (Unl)|01686D67
Sukeban Deka II - Shoujo Tekkamen Densetsu (Japan)|0950A312,B13DF647,G-1318
Summer Games (Europe, Brazil)|8DA5C93F,5119
Summer Games (Europe, Brazil) (Beta)|80EB1FFF
Super Arkanoid (Korea) (Unl)|C9DD4E5F
Super Basketball (USA) (Demo)|0DBF3B4A
Super Bioman I (Korea) (Unl)|A66D26CF
Super Boy 4 (Korea) (Unl)|B995B4F0
Super Boy I (Korea) (En) (Unl)|BF5A994A
Super Boy II (Korea) (En) (Unl)|67C2F0FF
Super Boy III (Korea) (En) (Unl)|9195C34C
Super Bubble Bobble (Korea) (En) (Unl)|22C09CFD
Super Columns & Tetris (Korea) (Unl)|6CE7F694
Super Golf (Europe) (Beta)|7F7B568D
Super Kick Off (Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv)|406AA0C2,27017
Super Monaco GP (Europe, Brazil)|55BF81A0,7043
Super Monaco GP (Europe, Brazil) (Beta)|A1D6D963
Super Monaco GP (USA)|3EF12BAA,7043
Super Monaco GP (USA) (Beta)|DD7ADBCC
Super Off Road (Europe)|54F68C2A,MK-27059
Super Off Road (Europe) (Beta)|CE8D6846
Super Racing (Japan)|7E0EF8CB,G-1357
Super Smash T.V. (Europe)|E0B1AFF8,MK-27044
Super Space Invaders (Europe)|1D6244EE,MK-27023
Super Tennis (USA, Europe)|914514E3
Super Tetris (Korea) (Unl)|BD1CC7DF
Super Wonder Boy - Monster World (Japan)|B1DA6A30,G-1346
Superman - The Man of Steel (Europe, Brazil)|6F9AC98F,7050
T2 - The Arcade Game (Europe)|93CA8152,MK-27061
Taito Chase H.Q. (Europe)|85CFC9C9,7038
Taito Chase H.Q. (Europe) (Beta)|1CDCF415
Taz in Escape from Mars (Brazil)|11CE074C,028620
Taz-Mania (Europe, Brazil)|7CC3E837,7111
Taz-Mania (Europe, Brazil) (Beta)|1B312E04
Tecmo World Cup '92 (Europe) (Beta)|96E75F48
Tecmo World Cup '93 (Europe)|5A1C3DDE,7106
Teddy Boy (USA, Europe, Brazil)|2728FAA3
Teddy Boy Blues (Japan)|316727DD,C-501
Teddy Boy Blues (Japan) (Proto) (Ep-MyCard)|D7508041
Tennis Ace (Europe, Brazil)|1A390B93,7028
Tensai Bakabon (Japan)|8132AB2C,G-1355
Terminator 2 - Judgment Day (Europe)|AC56104F,MK-27052
Terminator, The (Brazil)|E3D5CE9A
Terminator, The (Europe)|EDC5C012,MK-27025
Three Dragon Story, The (Korea) (Unl)|8640E7E8
Thunder Blade (Japan)|C0CE19B1,G-1360
Thunder Blade (Taiwan) (En) (Unl)|98CF1254
Thunder Blade (USA, Europe, Brazil)|AE920E4B
Thunder Blade (USA, Europe, Brazil) (Beta)|BAB9533B
Time Soldiers (USA, Europe, Brazil)|51BD14BE
Tom & Jerry (Europe, Brazil) (Beta)|0C2FC2DE
Tom and Jerry - The Movie (Europe, Brazil)|BF7B7285,7070
Toto World 3 (Korea) (Unl)|4F8D75EC
TransBot (USA, Europe, Brazil)|4BC42857
TransBot (USA, Europe, Brazil) (Beta)|58B99750
Trivial Pursuit - Genus Edition (Europe) (En,Fr,De,Es)|E5374022,MK-29008
Ttoriui Moheom (Korea) (En) (Unl)|178801D2
Turma da Monica em O Resgate (Brazil)|22CCA9BB,026260
Ultima IV - Quest of the Avatar (Europe, Brazil)|B52D60C8,9501
Ultima IV - Quest of the Avatar (Europe, Brazil) (Beta)|DE9F8517
Ultimate Soccer (Europe, Brazil) (En,Fr,De,Es,It)|15668CA4,7119
Vampire (Europe) (Beta)|20F40CAE
Vigilante (USA, Europe, Brazil)|DFB0B161
Virtua Fighter Animation (Brazil)|57F1545B
Walter Payton Football (USA)|3D55759B,7020
Wanted (USA, Europe, Brazil)|5359762D
Where in the World is Carmen Sandiego (Brazil)|88AA8CA6,023450
Where in the World is Carmen Sandiego (USA)|428B1E7C,4350
Wimbledon (Europe)|912D92AF,7100
Wimbledon II (Europe, Brazil)|7F3AFE58,7115
Winter Olympics (Brazil) (En,Fr,De,Es,It,Pt,Sv,No)|2FEC2B4A
Winter Olympics (Europe) (En,Fr,De,Es,It,Pt,Sv,No)|A20290B6,29015-50
Wolfchild (Europe, Brazil)|1F8EFA1D,MK-27060
Wonder Boy (Japan, Europe)|E2FCB6F3
Wonder Boy (USA, Europe, Brazil) (Rev 1)|73705C02
Wonder Boy III - The Dragon's Trap (USA, Europe)|725132AE,679E1676
Wonder Boy III - The Dragon's Trap (USA, Europe) (Aftermarket) (Unl)|525F4F3D
Wonder Boy in Monster Land (USA, Europe)|8CBEF0C1
Wonder Boy in Monster Land (USA, Europe) (Beta)|8312C429
Wonder Boy in Monster World (Europe)|7D7CE80B,9012
Wonder Boy in Monster World (Europe) (Beta)|81BFF9BB
Wonsiin (Korea) (Unl)|A05258F5
Woody Pop - Shinjinrui no Block Kuzushi (Japan)|315917D4,C-519
World Class Leaderboard (Europe, Brazil)|C9A449B7,27015
World Cup Italia '90 (Europe, Brazil)|6E1AD6FD,5084
World Cup Italia '90 (USA) (Demo)|A0CF8B15
World Cup USA 94 (Europe, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv)|A6BF8F9E,29028
World Games (Europe, Brazil)|A2A60BC8,5114
World Games (Europe, Brazil) (Beta)|914D3FC4
World Grand Prix (Europe)|4AAAD0D6,5080
World Grand Prix (USA, Brazil)|7B369892,5053
World Grand Prix (USA, Brazil) (Beta)|B5A9F824
World Soccer (World)|72112B75,5059
WWF Wrestlemania - Steel Cage Challenge (Europe, Brazil)|2DB21448,MK-27054
X-Men - Mojo World (Brazil)|3E1387F6,028.740
Xenon 2 - Megablast (Europe)|5C205EE1,27038-50
Xenon 2 - Megablast (Europe) (Rev 1)|EC726C0D,27038-50
Xyzolog (Korea) (En) (Unl)|565C799F
Ys (Japan)|32759751,G-1370
Ys - The Vanished Omens (USA, Europe)|7ED5DCA2
Ys - The Vanished Omens (USA, Europe) (Ja) (Demo)|E8B82066
Ys - The Vanished Omens (USA, Europe, Brazil)|B33E2827
Yuyryeong-ui Jip (Korea) (Unl)|1203AFC9
Zaxxon 3-D (World)|A3EF13CB,8002
Zaxxon 3-D (World) (Beta)|BBA74147
Zillion (Europe, Brazil) (Rev 2)|7BA54510,5075
Zillion (Japan, Europe) (En,Ja)|60C19645
Zillion (USA) (Rev 1)|3A9F4C9E
Zillion (USA, Europe) (Rev 1)|5718762C,5075
Zillion II - The Tri Formation (World)|2F2E3BC9,5015
Zillion II - The Tri Formation (World) (Beta)|5B1CF392
Zool - Ninja of the 'Nth' Dimension (Europe)|9D9D0A5F,27075
