pce
F1 Triple Battle (Japan)|13BF0409,HM89002
Falcon (USA)|0BC0A12B,TGX040067
Fantasy Zone (Japan)|72CB0F9D,H49G-1001
Fantasy Zone (USA)|E8C3573D,TGX020017
Fighting Run (Japan)|1828D2E5,NB91005
Final Blaster (Japan)|C90971BA,NC90007
Final Lap Twin (Japan)|C8C084E3,NC89003
Final Lap Twin (USA)|26408EA3,TGX030020
Final Match Tennis (Japan)|8C4F4941,560D2305,HM91004
Final Match Tennis Ladies|E92D1290
Final Soldier (Japan) (En)|AF2DD2AF,HC91045
Final Soldier - Special Version (Japan) (En)|02A578C5,HC91045
Fire Pro Wrestling - Combination Tag (Japan)|90ED6575,HM89001
Fire Pro Wrestling 2 - 2nd Bout (Japan)|E88987BB,HM91005
Fire Pro Wrestling 3 - Legend Bout (Japan)|534E8808,HM92006
Formation Soccer - Human Cup '90 (Japan)|85A1E7B6,HM90003
Formation Soccer - On J League (Japan)|7146027C,HM94007
Formation Soccer Human Cup 92|B3096880
Fushigi no Yume no Alice (Japan)|12C4E6FD,FA02-007
Gai Flame (Japan)|95F90DEC,NCS90001
Gaia no Monshou (Japan)|F93670FF,6FD6827C,NCS63001
Galaga '88 (Japan)|1A8393C6,NPJJ-30051
Galaga '90 (USA)|2909DEC6,TGX002218
Ganbare! Golf Boys (Japan)|27A4D11A,NCS89003
Gekisha Boy (Japan)|9CFE7E17,E8702D51,IC04007
Genji Tsuushin Agedama (Japan)|AD450DFC,HE91001
Genpei Toumaden (Japan)|B926C682,NC90001
Genpei Toumaden - Kan no Ni (Japan)|8793758C,NC92002
Ghost Manor (USA)|2DB4C1FD,TGX040076
Gokuraku! Chuuka Taisen (Japan)|E749A22C,TP03021
Gomola Speed (Japan)|4BD38F17
Gradius (Japan)|0517DA65,KM91001
Gunboat (USA)|F370B58E,TGX040060
Gunhed (Japan)|A17D4D7E,HC89019
Gunhed - Special Version (Japan)|57F183AE
Hana Taaka Daka! (Japan)|BA4D0DD4,TP03018
Hanii in the Sky (Japan)|BF3E2CC7,FA64-0001
